Executor 2 1 | x: 0 | f(x): 0
Executor 2 1 | x: 0.6 | f(x): 0.6
Executor 3 1 | x: 0 | f(x): 0
Executor 3 1 | x: 0.6 | f(x): 0.564642
Executor 3 1 | x: 1.2 | f(x): 0.932039
Executor 3 1 | x: 1.8 | f(x): 0.973848
Executor 0 2 | x: 1 | f(x): 1
Executor 0 2 | x: 1.1 | f(x): 1.21
Executor 0 2 | x: 1.2 | f(x): 1.44
Executor 0 2 | x: 1.3 | f(x): 1.69
Executor 0 2 | x: 1.4 | f(x): 1.96
Executor 0 2 | x: 1.5 | f(x): 2.25
Executor 0 2 | x: 1.6 | f(x): 2.56
Executor 0 2 | x: 1.7 | f(x): 2.89
Executor 0 2 | x: 1.8 | f(x): 3.24
Executor 0 2 | x: 1.9 | f(x): 3.61
Executor 1 2 | x: 1 | f(x): 0.841471
Executor 1 2 | x: 1.3 | f(x): 0.963558
Executor 1 2 | x: 1.6 | f(x): 0.999574
Executor 1 2 | x: 1.9 | f(x): 0.9463
Executor 2 2 | x: 1 | f(x): 1
Executor 2 2 | x: 1.2 | f(x): 1.2
Executor 2 2 | x: 1.4 | f(x): 1.4
Executor 2 2 | x: 1.6 | f(x): 1.6
Executor 2 2 | x: 1.8 | f(x): 1.8
Executor 2 2 | x: 2 | f(x): 2
Executor 3 2 | x: 1 | f(x): 1
Executor 3 2 | x: 1.5 | f(x): 1.5
Executor 3 2 | x: 2 | f(x): 2
Executor 0 3 | x: 1 | f(x): 1
Executor 0 3 | x: 1.2 | f(x): 1.2
Executor 0 3 | x: 1.4 | f(x): 1.4
Executor 0 3 | x: 1.6 | f(x): 1.6
Executor 0 3 | x: 1.8 | f(x): 1.8
Executor 0 3 | x: 2 | f(x): 2
Executor 1 3 | x: 0 | f(x): 0
Executor 1 3 | x: 0.5 | f(x): 0.479426
Executor 1 3 | x: 1 | f(x): 0.841471
Executor 2 3 | x: 0 | f(x): 1
Executor 2 3 | x: 0.9 | f(x): 0.62161
Executor 2 3 | x: 1.8 | f(x): -0.227202
Executor 3 3 | x: 1 | f(x): 0.540302
Executor 3 3 | x: 1.6 | f(x): -0.0291995
Executor 0 4 | x: 1 | f(x): 1
Executor 0 4 | x: 1.1 | f(x): 1.21
Executor 0 4 | x: 1.2 | f(x): 1.44
Executor 0 4 | x: 1.3 | f(x): 1.69
Executor 0 4 | x: 1.4 | f(x): 1.96
Executor 0 4 | x: 1.5 | f(x): 2.25
Executor 0 4 | x: 1.6 | f(x): 2.56
Executor 0 4 | x: 1.7 | f(x): 2.89
Executor 0 4 | x: 1.8 | f(x): 3.24
Executor 0 4 | x: 1.9 | f(x): 3.61
Executor 1 4 | x: 0 | f(x): 1
Executor 1 4 | x: 0.1 | f(x): 0.995004
Executor 1 4 | x: 0.2 | f(x): 0.980067
Executor 1 4 | x: 0.3 | f(x): 0.955336
Executor 1 4 | x: 0.4 | f(x): 0.921061
Executor 1 4 | x: 0.5 | f(x): 0.877583
Executor 1 4 | x: 0.6 | f(x): 0.825336
Executor 1 4 | x: 0.7 | f(x): 0.764842
Executor 1 4 | x: 0.8 | f(x): 0.696707
Executor 1 4 | x: 0.9 | f(x): 0.62161
Executor 1 4 | x: 1 | f(x): 0.540302
Executor 2 4 | x: 1 | f(x): 1
Executor 2 4 | x: 1.7 | f(x): 2.89
Executor 3 4 | x: 0 | f(x): 1
Executor 3 4 | x: 0.3 | f(x): 0.955336
Executor 3 4 | x: 0.6 | f(x): 0.825336
Executor 3 4 | x: 0.9 | f(x): 0.62161
Executor 2 1 | x: 0 | f(x): 0
Executor 2 1 | x: 0.2 | f(x): 0.198669
Executor 2 1 | x: 0.4 | f(x): 0.389418
Executor 2 1 | x: 0.6 | f(x): 0.564642
Executor 2 1 | x: 0.8 | f(x): 0.717356
Executor 2 1 | x: 1 | f(x): 0.841471
Executor 1 1 | x: 0 | f(x): 0
Executor 1 1 | x: 0.3 | f(x): 0.09
Executor 1 1 | x: 0.6 | f(x): 0.36
Executor 1 1 | x: 0.9 | f(x): 0.81
Executor 1 1 | x: 1.2 | f(x): 1.44
Executor 1 1 | x: 1.5 | f(x): 2.25
Executor 1 1 | x: 1.8 | f(x): 3.24
Executor 0 1 | x: 1 | f(x): 1
Executor 0 1 | x: 1.2 | f(x): 1.2
Executor 0 1 | x: 1.4 | f(x): 1.4
Executor 0 1 | x: 1.6 | f(x): 1.6
Executor 0 1 | x: 1.8 | f(x): 1.8
Executor 0 1 | x: 2 | f(x): 2
Executor 2 2 | x: 1 | f(x): 1
Executor 2 2 | x: 1.1 | f(x): 1.21
Executor 2 2 | x: 1.2 | f(x): 1.44
Executor 2 2 | x: 1.3 | f(x): 1.69
Executor 2 2 | x: 1.4 | f(x): 1.96
Executor 2 2 | x: 1.5 | f(x): 2.25
Executor 2 2 | x: 1.6 | f(x): 2.56
Executor 2 2 | x: 1.7 | f(x): 2.89
Executor 2 2 | x: 1.8 | f(x): 3.24
Executor 2 2 | x: 1.9 | f(x): 3.61
Executor 1 2 | x: 1 | f(x): 0.841471
Executor 1 2 | x: 1.5 | f(x): 0.997495
Executor 1 2 | x: 2 | f(x): 0.909297
Executor 0 2 | x: 1 | f(x): 0.540302
Executor 0 2 | x: 1.9 | f(x): -0.32329
Executor 2 3 | x: 1 | f(x): 0.540302
Executor 2 3 | x: 1.8 | f(x): -0.227202
Executor 1 3 | x: 1 | f(x): 1
Executor 1 3 | x: 1.8 | f(x): 3.24
Executor 0 3 | x: 1 | f(x): 0.540302
Executor 0 3 | x: 1.7 | f(x): -0.128844
Executor 2 4 | x: 1 | f(x): 1
Executor 2 4 | x: 1.1 | f(x): 1.21
Executor 2 4 | x: 1.2 | f(x): 1.44
Executor 2 4 | x: 1.3 | f(x): 1.69
Executor 2 4 | x: 1.4 | f(x): 1.96
Executor 2 4 | x: 1.5 | f(x): 2.25
Executor 2 4 | x: 1.6 | f(x): 2.56
Executor 2 4 | x: 1.7 | f(x): 2.89
Executor 2 4 | x: 1.8 | f(x): 3.24
Executor 2 4 | x: 1.9 | f(x): 3.61
Executor 1 4 | x: 0 | f(x): 0
Executor 1 4 | x: 0.2 | f(x): 0.198669
Executor 1 4 | x: 0.4 | f(x): 0.389418
Executor 1 4 | x: 0.6 | f(x): 0.564642
Executor 1 4 | x: 0.8 | f(x): 0.717356
